plot_id,vt_section,plot,taxon_code,raunkiaer_value
3.01,3,1,,
3.02,3,2,,
3.03,3,3,,
3.04,3,4,,
3.05,3,5,,
3.06,3,6,,
3.07,3,7,,
3.08,3,8,,
3.09,3,9,,
3.10,3,10,,
4.01,4,1,,
4.02,4,2,,
4.03,4,3,,
4.04,4,4,,
4.05,4,5,,
4.06,4,6,,
4.07,4,7,,
4.08,4,8,,
4.09,4,9,,
4.10,4,10,,
5.01,5,1,,
5.02,5,2,,
5.03,5,3,,
5.04,5,4,,
5.05,5,5,,
5.06,5,6,,
5.07,5,7,,
5.08,5,8,,
5.09,5,9,,
5.10,5,10,,
6.01,6,1,,
6.02,6,2,,
6.03,6,3,,
6.04,6,4,,
6.05,6,5,,
6.06,6,6,,
6.07,6,7,,
6.08,6,8,,
7.01,7,1,,
7.02,7,2,,
7.03,7,3,,
7.04,7,4,,
7.05,7,5,,
7.06,7,6,,
7.07,7,7,,
7.08,7,8,,
7.09,7,9,,
7.10,7,10,,
8.01,8,1,,
8.02,8,2,,
8.03,8,3,,
8.04,8,4,,
8.05,8,5,,
8.06,8,6,,
8.07,8,7,,
8.08,8,8,,
8.09,8,9,,
8.10,8,10,,
9.01,9,1,,
9.02,9,2,,
9.03,9,3,,
9.04,9,4,,
9.05,9,5,,
9.06,9,6,,
9.07,9,7,,
9.08,9,8,,
9.09,9,9,,
9.10,9,10,,
10.01,10,1,,
10.02,10,2,,
10.03,10,3,,
10.04,10,4,,
10.05,10,5,,
10.06,10,6,,
10.07,10,7,,
10.08,10,8,,
10.09,10,9,,
10.10,10,10,,
12.01,12,1,,
12.02,12,2,,
12.03,12,3,,
12.04,12,4,,
12.05,12,5,,
12.06,12,6,,
12.07,12,7,,
12.08,12,8,,
12.09,12,9,,
12.10,12,10,,
13.01,13,1,,
13.02,13,2,,
13.03,13,3,,
13.04,13,4,,
13.05,13,5,,
13.06,13,6,,
13.07,13,7,,
13.08,13,8,,
13.09,13,9,,
13.10,13,10,,
15.01,15,1,,
15.02,15,2,,
15.03,15,3,,
15.04,15,4,,
15.05,15,5,,
15.06,15,6,,
15.07,15,7,,
15.08,15,8,,
15.09,15,9,,
15.10,15,10,,
17.01,17,1,,
17.02,17,2,,
17.03,17,3,,
17.04,17,4,,
17.05,17,5,,
17.06,17,6,,
17.07,17,7,,
17.08,17,8,,
17.09,17,9,,
17.10,17,10,,
19.01,19,1,,
19.02,19,2,,
19.03,19,3,,
20.01,20,1,,
20.02,20,2,,
20.03,20,3,,
20.04,20,4,,
20.05,20,5,,
20.06,20,6,,
20.07,20,7,,
20.08,20,8,,
20.09,20,9,,
20.10,20,10,,
21.01,21,1,,
21.02,21,2,,
21.03,21,3,,
21.04,21,4,,
21.05,21,5,,
21.06,21,6,,
21.07,21,7,,
21.08,21,8,,
21.09,21,9,,
21.10,21,10,,
22.01,22,1,,
22.02,22,2,,
22.03,22,3,,
22.04,22,4,,
22.05,22,5,,
22.06,22,6,,
22.07,22,7,,
22.08,22,8,,
22.09,22,9,,
22.10,22,10,,
23.01,23,1,,
23.02,23,2,,
23.03,23,3,,
23.04,23,4,,
23.05,23,5,,
23.06,23,6,,
23.07,23,7,,
23.08,23,8,,
23.09,23,9,,
23.10,23,10,,
25.01,25,1,,
25.02,25,2,,
25.03,25,3,,
25.04,25,4,,
25.05,25,5,,
25.06,25,6,,
25.07,25,7,,
25.08,25,8,,
25.09,25,9,,
25.10,25,10,,
26.01,26,1,,
26.02,26,2,,
26.03,26,3,,
26.04,26,4,,
26.05,26,5,,
26.06,26,6,,
27.01,27,1,,
27.02,27,2,,
27.03,27,3,,
27.04,27,4,,
27.05,27,5,,
27.06,27,6,,
27.07,27,7,,
27.08,27,8,,
27.09,27,9,,
27.10,27,10,,
28.01,28,1,,
28.02,28,2,,
28.03,28,3,,
28.04,28,4,,
28.05,28,5,,
28.06,28,6,,
28.07,28,7,,
29.01,29,1,,
29.02,29,2,,
29.03,29,3,,
29.04,29,4,,
29.05,29,5,,
29.06,29,6,,
29.07,29,7,,
29.09,29,9,,
31.01,31,1,,
31.02,31,2,,
31.03,31,3,,
31.04,31,4,,
31.05,31,5,,
31.06,31,6,,
31.07,31,7,,
31.08,31,8,,
31.09,31,9,,
31.10,31,10,,
33.01,33,1,,
33.02,33,2,,
33.03,33,3,,
33.04,33,4,,
33.05,33,5,,
33.06,33,6,,
33.07,33,7,,
33.08,33,8,,
33.09,33,9,,
33.10,33,10,,
34.01,34,1,,
34.02,34,2,,
34.03,34,3,,
34.04,34,4,,
34.05,34,5,,
34.06,34,6,,
34.07,34,7,,
34.08,34,8,,
34.09,34,9,,
35.01,35,1,,
35.02,35,2,,
35.03,35,3,,
35.04,35,4,,
35.05,35,5,,
35.06,35,6,,
35.07,35,7,,
35.08,35,8,,
35.09,35,9,,
35.10,35,10,,
36.01,36,1,,
36.02,36,2,,
36.03,36,3,,
36.04,36,4,,
37.01,37,1,,
37.02,37,2,,
37.03,37,3,,
37.04,37,4,,
38.01,38,1,,
38.02,38,2,,
38.03,38,3,,
39.01,39,1,,
39.02,39,2,,
39.03,39,3,,
39.04,39,4,,
39.05,39,5,,
39.06,39,6,,
39.07,39,7,,
39.08,39,8,,
39.09,39,9,,
39.10,39,10,,
41.01,41,1,,
41.02,41,2,,
41.03,41,3,,
41.04,41,4,,
41.05,41,5,,
41.06,41,6,,
41.07,41,7,,
41.08,41,8,,
41.09,41,9,,
41.10,41,10,,
43.01,43,1,,
43.02,43,2,,
43.03,43,3,,
43.04,43,4,,
43.05,43,5,,
43.06,43,6,,
43.07,43,7,,
43.08,43,8,,
43.09,43,9,,
43.10,43,10,,
44.01,44,1,,
44.02,44,2,,
44.03,44,3,,
44.04,44,4,,
44.05,44,5,,
44.06,44,6,,
44.07,44,7,,
44.08,44,8,,
44.09,44,9,,
44.10,44,10,,
46.01,46,1,,
46.02,46,2,,
46.03,46,3,,
46.04,46,4,,
46.05,46,5,,
46.06,46,6,,
46.07,46,7,,
46.08,46,8,,
46.09,46,9,,
46.10,46,10,,
47.01,47,1,,
47.02,47,2,,
47.03,47,3,,
47.04,47,4,,
47.05,47,5,,
47.06,47,6,,
47.07,47,7,,
47.08,47,8,,
47.09,47,9,,
47.10,47,10,,
48.01,48,1,,
48.02,48,2,,
48.03,48,3,,
48.04,48,4,,
48.05,48,5,,
48.06,48,6,,
48.07,48,7,,
48.08,48,8,,
48.09,48,9,,
48.10,48,10,,
49.01,49,1,,
49.02,49,2,,
49.03,49,3,,
49.04,49,4,,
50.01,50,1,,
50.02,50,2,,
50.03,50,3,,
50.04,50,4,,
50.05,50,5,,
50.06,50,6,,
50.07,50,7,,
50.08,50,8,,
50.09,50,9,,
50.10,50,10,,
51.01,51,1,,
51.02,51,2,,
51.03,51,3,,
51.04,51,4,,
52.01,52,1,,
52.02,52,2,,
52.03,52,3,,
52.04,52,4,,
52.05,52,5,,
