year,date,vt_section,plot,plot_id,veg_type,taxon_code,raunkiaer_value,fertile,remarks,cfr,validation
2017,2017-07-10,3,1,3.01,snowbed,carbig,1,0,,,species
2017,2017-07-10,3,1,3.01,snowbed,empnig,3,0,,,species
2017,2017-07-10,3,1,3.01,snowbed,lichen,2,0,,,lichen
2017,2017-07-10,3,1,3.01,snowbed,bryoph,3,0,,,other
2017,2017-07-10,3,1,3.01,snowbed,salher,2,0,,,species
2017,2017-07-10,3,2,3.02,snowbed,carbig,1,0,,,species
2017,2017-07-10,3,2,3.02,snowbed,empnig,3,0,,,species
2017,2017-07-10,3,2,3.02,snowbed,lichen,3,0,,,lichen
2017,2017-07-10,3,2,3.02,snowbed,bryoph,3,0,,,other
2017,2017-07-10,3,2,3.02,snowbed,polviv,2,0,,,species
2017,2017-07-10,3,2,3.02,snowbed,salher,3,0,,,species
2017,2017-07-10,3,2,3.02,snowbed,sibpro,1,0,,,species
2017,2017-07-10,3,3,3.03,snowbed,carbig,2,0,,,species
2017,2017-07-10,3,3,3.03,snowbed,empnig,3,0,,,species
2017,2017-07-10,3,3,3.03,snowbed,bryoph,3,0,,,other
2017,2017-07-10,3,3,3.03,snowbed,salher,3,0,,,species
2017,2017-07-10,3,4,3.04,snowbed,carbig,2,0,,,species
2017,2017-07-10,3,4,3.04,snowbed,empnig,3,0,,,species
2017,2017-07-10,3,4,3.04,snowbed,bryoph,3,0,,,other
2017,2017-07-10,3,4,3.04,snowbed,salher,3,0,,,species
2017,2017-07-10,3,4,3.04,snowbed,sibpro,1,0,,,species
2017,2017-07-18,3,5,3.05,snowbed,carbig,2,0,,,species
2017,2017-07-18,3,5,3.05,snowbed,empnig,3,1,,,species
2017,2017-07-18,3,5,3.05,snowbed,lichen,1,0,,,lichen
2017,2017-07-18,3,5,3.05,snowbed,bryoph,2,0,,,other
2017,2017-07-18,3,5,3.05,snowbed,salher,3,0,,,species
2017,2017-07-18,3,5,3.05,snowbed,sibpro,1,0,,,species
2017,2017-07-10,3,6,3.06,snowbed,carbig,2,0,,,species
2017,2017-07-10,3,6,3.06,snowbed,dipalp,1,0,,,species
