plot_id,lon,lat,certainty
1,-51.39617813,64.1270701,certain
2,-51.39583864,64.12723113,certain
3,-51.39572744,64.12727829,certain
3.01,-51.39570099,64.12728856,certain
3.02,-51.39567439,64.1273,certain
3.03,-51.39565211,64.12731037,certain
3.04,-51.39562682,64.12732163,certain
3.05,-51.39559948,64.12733504,likely
3.06,-51.39549668,64.12738162,certain
3.07,-51.39547348,64.12739135,certain
3.08,-51.39544632,64.12740322,certain
3.09,-51.39542098,64.12741425,certain
3.1,-51.39539485,64.12742633,certain
4,-51.3953682,64.12743759,certain
4.01,-51.39533964,64.12744826,certain
4.02,-51.39530763,64.12745911,certain
4.03,-51.39528066,64.12747265,likely
4.04,-51.39525038,64.12748478,likely
4.05,-51.39522008,64.12749691,likely
4.06,-51.39518792,64.12750979,likely
4.07,-51.39515763,64.12752192,likely
4.08,-51.39512602,64.12753338,certain
4.09,-51.39509744,64.12754463,certain
4.1,-51.3950688,64.1275575,likely
5,-51.3950413,64.12756851,certain
5.01,-51.39501203,64.12758111,likely
5.02,-51.39498845,64.12759268,certain
5.03,-51.39496299,64.1276035,certain
5.04,-51.394937,64.12761449,certain
5.05,-51.39491041,64.12762652,certain
5.06,-51.39502645,64.1275875,possible
5.07,-51.39500152,64.12759823,possible
5.08,-51.39497605,64.12760919,possible
5.09,-51.39495029,64.12762028,possible
5.1,-51.39492304,64.12763201,possible
6,-51.3948804,64.12763778,certain
6.01,-51.39482397,64.12765883,certain
6.02,-51.39479538,64.12767051,certain
6.03,-51.39476924,64.12768436,possible
6.04,-51.39484944,64.12762368,possible
6.05,-51.39482505,64.12763396,certain
6.06,-51.39479533,64.12764636,possible
6.07,-51.39476569,64.12765878,possible
6.08,-51.39473604,64.12767121,possible
7,-51.39474503,64.12769451,certain
7.01,-51.39471693,64.12770598,certain
7.02,-51.39468919,64.12771683,certain
7.03,-51.39466172,64.12772794,certain
7.04,-51.3946344,64.1277402,certain
7.05,-51.39460886,64.12775121,certain
7.06,-51.39437825,64.12786959,likely
7.07,-51.3943505,64.12788283,likely
7.08,-51.39432276,64.12789608,likely
7.09,-51.39429498,64.12790934,likely
7.1,-51.39426725,64.12792257,likely
8,-51.39423951,64.12793581,certain
8.01,-51.39421342,64.12794962,possible
8.02,-51.39418728,64.12796345,possible
8.03,-51.39416108,64.12797731,possible
8.04,-51.39413507,64.12799108,possible
8.05,-51.39410891,64.12800492,possible
8.06,-51.39419879,64.12793803,likely
8.07,-51.39417118,64.12795162,certain
8.08,-51.39414862,64.1279645,certain
8.09,-51.39412678,64.12797799,certain
8.1,-51.39409965,64.12799147,likely
9,-51.39410001,64.12800963,certain
9.01,-51.39407347,64.12802235,certain
9.02,-51.39405035,64.12803449,certain
9.03,-51.3940272,64.12804476,certain
9.04,-51.39400472,64.1280552,certain
9.05,-51.39397869,64.12806821,certain
9.06,-51.39383245,64.12814504,certain
9.07,-51.39380503,64.12815506,certain
9.08,-51.393775,64.12816671,certain
9.09,-51.39374577,64.12817892,certain
9.1,-51.39371725,64.12819139,certain
10,-51.39368521,64.12820292,certain
10.01,-51.39365781,64.12821478,certain
10.02,-51.39363021,64.12822687,certain
10.03,-51.39360053,64.12823949,certain
10.04,-51.393573,64.12825241,certain
10.05,-51.39354396,64.12826443,certain
10.06,-51.39270149,64.12867117,certain
10.07,-51.39267355,64.12868478,certain
10.08,-51.39265121,64.1286972,certain
10.09,-51.39262847,64.12870882,certain
10.1,-51.39260368,64.12872343,certain
11,-51.39257902,64.12873664,certain
12,-51.39242839,64.12879459,certain
12.01,-51.39239799,64.1288058,certain
12.02,-51.39236812,64.12881595,certain
12.03,-51.39233527,64.12882704,certain
12.04,-51.39230341,64.12883834,likely
12.05,-51.39227335,64.12884887,certain
12.06,-51.39133156,64.12919056,certain
12.07,-51.39130326,64.129203,certain
12.08,-51.39127118,64.12921496,certain
12.09,-51.39124304,64.12922779,certain
12.1,-51.3912141,64.12923982,certain
13,-51.39118486,64.12925186,certain
13.01,-51.39115622,64.12926429,certain
13.02,-51.39112673,64.12927664,certain
13.03,-51.39109817,64.12928875,certain
13.04,-51.39107023,64.12930152,certain
13.05,-51.3910402,64.12931376,certain
13.06,-51.39044527,64.12956349,certain
13.07,-51.39041646,64.12957671,certain
13.08,-51.39038717,64.12958859,certain
13.09,-51.39035788,64.12960075,certain
13.1,-51.39032827,64.12961317,certain
14,-51.3902961,64.12962411,certain
15,-51.38929758,64.13005193,certain
15.01,-51.38926982,64.13006418,certain
15.02,-51.38923839,64.13007558,likely
15.03,-51.38921254,64.13008986,certain
15.04,-51.3891739,64.1301087,certain
15.05,-51.38914212,64.13012022,certain
15.06,-51.3891091,64.13012992,certain
15.07,-51.38907625,64.1301385,certain
15.08,-51.38904392,64.13015446,certain
15.09,-51.389183,64.13012204,uncertain
15.1,-51.38912754,64.13009556,uncertain
16,-51.38901269,64.13016578,certain
17,-51.38895452,64.13018885,certain
17.01,-51.38892507,64.13020107,certain
17.02,-51.38889552,64.13021389,certain
17.03,-51.38886385,64.13022593,certain
17.04,-51.38883446,64.13023752,certain
17.05,-51.38880509,64.13024933,certain
17.06,-51.38877222,64.13025996,certain
17.07,-51.38873914,64.13027187,certain
17.08,-51.38870988,64.13028355,certain
17.09,-51.38867839,64.13029487,certain
17.1,-51.38877469,64.13023406,uncertain
18,-51.38865222,64.13030503,certain
19,-51.38851692,64.13036515,possible
19.01,-51.38848814,64.13037794,uncertain
19.02,-51.38851743,64.13039053,uncertain
19.03,-51.38845884,64.13036536,uncertain
20,-51.38845926,64.13039077,certain
20.01,-51.38843069,64.13040367,likely
20.02,-51.38840037,64.13041736,certain
20.03,-51.38836923,64.13043166,certain
20.04,-51.38834032,64.13044446,likely
20.05,-51.38831175,64.13045736,likely
20.06,-51.38828318,64.13047025,likely
20.07,-51.38836721,64.13045803,likely
20.08,-51.38839406,64.13047158,likely
20.09,-51.38831247,64.13042991,certain
20.1,-51.38828652,64.1304173,certain
21,-51.38825367,64.13048357,certain
21.01,-51.38822614,64.13049612,certain
21.02,-51.38819886,64.13050967,certain
21.03,-51.38816839,64.13052208,certain
21.04,-51.38812501,64.13054148,likely
21.05,-51.38811074,64.13054791,likely
21.06,-51.38805561,64.13057419,certain
21.07,-51.38802753,64.13058618,certain
21.08,-51.38799804,64.1305988,certain
21.09,-51.38797006,64.13061131,certain
21.1,-51.38794109,64.13062433,certain
22,-51.38791251,64.13063713,certain
22.01,-51.38788212,64.13064935,certain
22.02,-51.38785322,64.13066134,certain
22.03,-51.38782336,64.130674,certain
22.04,-51.38779408,64.13068614,certain
22.05,-51.38776341,64.13069885,likely
